"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
26.5,0,-126,-0.710721310319962
26.5,0,-125,-0.722269438976811
26.5,0,-124,-0.735995235746011
26.5,0,-123,-0.752015896723708
26.5,0,-122,-0.77044027769174
26.5,0,-121,-0.791368490721989
26.5,0,-120,-0.814891515470017
26.5,0,-119,-0.841090811765324
26.5,0,-118,-0.870037919323611
26.5,0,-117,-0.901794029856647
26.5,0,-116,-0.93640951653172
26.5,0,-115,-0.973923405635856
26.5,0,-114,-1.01436277544082
26.5,0,-113,-1.05774206766624
26.5,0,-112,-1.10406229763732
26.5,0,-111,-1.1533101502856
26.5,0,-110,-1.20545695061973
26.5,0,-109,-1.2604574992946
26.5,0,-108,-1.31824876654996
26.5,0,-107,-1.3787484412179
26.5,0,-106,-1.44185333587875
26.5,0,-105,-1.50743765476683
26.5,0,-104,-1.57535113789307
26.5,0,-103,-1.64541710327128
26.5,0,-102,-1.71743041930306
26.5,0,-101,-1.79115545145429
26.5,0,-100,-1.86632404142796
26.5,0,-99,-1.94263359307174
26.5,0,-98,-2.01974535703933
26.5,0,-97,-2.09728302528659
26.5,0,-96,-2.17483176602598
26.5,0,-95,-2.25193784857194
26.5,0,-94,-2.32810902388158
26.5,0,-93,-2.40281583830402
26.5,0,-92,-2.47549406235879
26.5,0,-91,-2.54554841013334
26.5,0,-90,-2.61235770480622
26.5,0,-89,-2.67528160875584
26.5,0,-88,-2.7336689803204
26.5,0,-87,-2.78686784254146
26.5,0,-86,-2.83423685326604
26.5,0,-85,-2.87515805467555
26.5,0,-84,-2.90905056069968
26.5,0,-83,-2.93538472304871
26.5,0,-82,-2.95369621345514
26.5,0,-81,-2.96359938502565
26.5,0,-80,-2.96479924246364
26.5,0,-79,-2.95710136933906
26.5,0,-78,-2.9404192352497
26.5,0,-77,-2.9147784344078
26.5,0,-76,-2.88031758023978
26.5,0,-75,-2.83728578180319
26.5,0,-74,-2.78603683666335
26.5,0,-73,-2.72702046959986
26.5,0,-72,-2.66077110760437
26.5,0,-71,-2.58789479468449
26.5,0,-70,-2.50905490757031
26.5,0,-69,-2.42495733550632
26.5,0,-68,-2.33633574041529
26.5,0,-67,-2.24393742903349
26.5,0,-66,-2.1485102597069
26.5,0,-65,-2.05079088710427
26.5,0,-64,-1.95149453019579
26.5,0,-63,-1.85130634174774
26.5,0,-62,-1.75087436736683
26.5,0,-61,-1.65080401178853
26.5,0,-60,-1.55165388006065
26.5,0,-59,-1.45393283005919
26.5,0,-58,-1.35809805774741
26.5,0,-57,-1.26455403456174
26.5,0,-56,-1.17365212402523
26.5,0,-55,-1.0856907191628
26.5,0,-54,-1.00091576098446
26.5,0,-53,-0.919521519204602
26.5,0,-52,-0.84165153798954
26.5,0,-51,-0.767399670855693
26.5,0,-50,-0.696811149247541
26.5,0,-49,-0.629883648481761
26.5,0,-48,-0.566568332537553
26.5,0,-47,-0.50677087562603
26.5,0,-46,-0.450352473671682
26.5,0,-45,-0.397130872882212
26.5,0,-44,-0.346881455522245
26.5,0,-43,-0.299338434809682
26.5,0,-42,-0.254196221369372
26.5,0,-41,-0.211111032610846
26.5,0,-40,-0.169702823286551
26.5,0,-39,-0.129557619712008
26.5,0,-38,-0.09023034091874
26.5,0,-37,-0.0512481864857165
26.5,0,-36,-0.0121146620364135
26.5,0,-35,0.0276857014595152
26.5,0,-34,0.0686819000368237
26.5,0,-33,0.111410274836723
26.5,0,-32,0.156407625510354
26.5,0,-31,0.204203689793538
26.5,0,-30,0.255313105544916
26.5,0,-29,0.310227018425186
26.5,0,-28,0.369404543301297
26.5,0,-27,0.433264326353826
26.5,0,-26,0.502176483487218
26.5,0,-25,0.576455204993277
26.5,0,-24,0.656352313325367
26.5,0,-23,0.742052038505385
26.5,0,-22,0.833667234115633
26.5,0,-21,0.93123719805137
26.5,0,-20,1.0347271902089
26.5,0,-19,1.14402965961466
26.5,0,-18,1.25896711266064
26.5,0,-17,1.37929647873696
26.5,0,-16,1.50471476560089
26.5,0,-15,1.63486574886022
26.5,0,-14,1.76934741069155
26.5,0,-13,1.90771983303983
26.5,0,-12,2.04951325883381
26.5,0,-11,2.19423605844188
26.5,0,-10,2.34138237391384
26.5,0,-9,2.49043925628919
26.5,0,-8,2.6408931572619
26.5,0,-7,2.79223568212559
26.5,0,-6,2.94396855328102
26.5,0,-5,3.09560777063759
26.5,0,-4,3.24668698580885
26.5,0,-3,3.39676013066815
26.5,0,-2,3.5454033577793
26.5,0,-1,3.69221636105756
26.5,0,0,3.83682315062024
26.5,0,1,3.97887235714271
26.5,0,2,4.11803713914164
26.5,0,3,4.25401476238905
26.5,0,4,4.38652591492607
26.5,0,5,4.51531381456502
26.5,0,6,4.64014315886675
26.5,0,7,4.76079896074908
26.5,0,8,4.87708530639437
26.5,0,9,4.98882406615337
26.5,0,10,5.09585358378455
26.5,0,11,5.19802736465831
26.5,0,12,5.29521277948719
26.5,0,13,5.38728979668009
26.5,0,14,5.47414975350671
26.5,0,15,5.55569417383454
26.5,0,16,5.63183363819956
26.5,0,17,5.70248671032762
26.5,0,18,5.76757892287782
26.5,0,19,5.82704182407746
26.5,0,20,5.88081208601412
26.5,0,21,5.92883067460541
26.5,0,22,5.97104208064833
26.5,0,23,6.00739361083326
26.5,0,24,6.0378347371725
26.5,0,25,6.0623165029259
26.5,0,26,6.08079098279591
26.5,0,27,6.09321079490602
26.5,0,28,6.09952866186399
